"Claim number","Response Date","Response"
"AL-BONVI/39244/666",2007-09-19,"rejected"
"AL-BONVI/39244/685",2007-09-19,"N"
"AL-BONVI/38353/898",2006-04-21,"NO"
"AL-BONVI/39244/126",2007-09-19,"YES"
"AL-CELLC/37257/916",2002-11-11,"Y"
"AL-CELLC/37257/596",2002-11-11,"NO"
"AL-CELLC/37257/503",2002-11-11,"yes"
"AL-CELLC/40477/777",2011-01-13,"declined"
"AL-CELLC/40477/831",2011-01-13,"app"
"AL-CELLC/40477/611",2011-01-13,"Y"
"AL-COPEG/39349/395",2007-11-15,"NO"
"AL-COPEG/39532/721",2008-06-24,"YES"
"AL-COPEG/39592/261",2008-09-03,"rejected"
"AL-DILAT/37622/260",2004-07-05,"rejected"
"AL-DILAT/37622/222",2004-07-05,"YES"
"AL-DILAT/37622/139",2004-07-05,"app"
"AL-DILAT/37257/140",2003-03-20,"APPROVED"
"AL-DILAT/37257/546",2003-03-20,"APPROVED"
"AL-DILAT/37257/118",2003-03-20,"Y"
"AL-DILAT/37257/711",2003-03-20,"Y"
"AL-DILAT/37257/823",2003-03-20,"YES"
"AL-DILAT/37257/552",2003-03-20,"Approved"
"AL-DORMI/38353/217",1996-03-15,"Y"
"AL-DORMI/38353/233",1996-03-15,"app"
"AL-DORMI/34700/244",1996-03-15,"APPROVED"
"AL-DORMI/34700/879",1996-03-15,"declined"
"AL-FUZEO/37987/148",2005-01-31,"APPROVED"
"AL-HERCE/37622/730",2004-03-12,"app"
"AL-HERCE/39202/298",2007-07-06,"NO"
"AL-HERCE/40196/359",2010-04-05,"Approved"
"AL-HERCE/40931/377",2012-04-19,"declined"
"AL-HERCE/41053/953",2012-09-06,"Approved"
"AL-KADCY/42307/761",2015-12-07,"rejected"
"AL-KADCY/42307/800",2015-12-07,"yes"
"AL-KYTRI/37987/659",2005-05-19,"Approved"
"AL-KYTRI/37987/207",2005-05-19,"yes"
"AL-KYTRI/37987/279",2005-05-19,"declined"
"AL-KYTRI/37987/927",2005-05-19,"YES"
"AL-KYTRI/37987/246",2005-05-19,"APPROVED"
"AL-KYTRI/37987/979",2005-05-19,"declined"
"AL-KYTRI/37987/772",2005-05-19,"declined"
"AL-KYTRI/37987/876",2005-05-19,"declined"
"AL-KYTRI/37987/552",2005-05-19,"Approved"
"AL-LEXOT/37257/816",2003-06-16,"Y"
"AL-LEXOT/37257/886",2003-06-16,"N"
"AL-MABTH/37257/945",2003-03-15,"APPROVED"
"AL-MABTH/37257/676",2003-03-15,"declined"
"AL-MABTH/39489/990",2008-06-10,"NO"
"AL-MABTH/39489/528",2008-06-10,"YES"
"AL-MABTH/39489/591",2008-06-10,"NO"
"AL-MABTH/40039/132",2009-10-13,"app"
"AL-MABTH/40581/266",2011-05-20,"rejected"
"AL-MABTH/40889/192",2012-03-09,"NO"
"AL-MABTH/37257/673",2003-03-15,"declined"
"AL-MABTH/37257/624",2003-03-15,"YES"
"AL-MABTH/39489/669",2008-06-10,"rejected"
"AL-MABTH/39489/747",2008-06-10,"APPROVED"
"AL-MABTH/39489/765",2008-06-10,"rejected"
"AL-MABTH/40039/753",2009-10-13,"Approved"
"AL-MABTH/40581/102",2011-05-20,"yes"
"AL-MABTH/40889/513",2012-03-09,"Y"
"AL-MADOP/37622/765",2003-09-29,"rejected"
"AL-MIRCE/39377/184",2008-07-01,"N"
"AL-MIRCE/40010/248",2009-09-11,"APPROVED"
"AL-MIRCE/39377/991",2008-07-01,"NO"
"AL-MIRCE/39377/208",2008-07-01,"yes"
"AL-MIRCE/39377/932",2008-07-01,"app"
"AL-MIRCE/40010/133",2009-09-11,"app"
"AL-MIRCE/40010/178",2009-09-11,"declined"
"AL-MIRCE/39377/571",2008-07-01,"declined"
"AL-MIRCE/39377/146",2008-07-01,"APPROVED"
"AL-MIRCE/39377/281",2008-07-01,"N"
"AL-MIRCE/39377/824",2008-07-01,"YES"
"AL-MIRCE/39377/329",2008-07-01,"YES"
"AL-MIRCE/39377/733",2008-07-01,"app"
"AL-NEORE/37257/693",2003-06-16,"NO"
"AL-NEORE/37257/666",2003-06-16,"rejected"
"AL-NEORE/37257/398",2003-06-16,"NO"
"AL-NEORE/37257/400",2003-06-16,"yes"
"AL-NEORE/37257/239",2003-06-16,"app"
"AL-NEORE/37257/272",2003-03-20,"declined"
"AL-NEORE/37257/322",2003-03-20,"YES"
"AL-NEORE/37257/750",2003-03-20,"Approved"
"AL-NEORE/37257/673",2003-03-20,"declined"
"AL-NEORE/37257/542",2003-03-20,"APPROVED"
"AL-NEORE/38718/689",2006-08-25,"N"
"AL-NEORE/38718/834",2006-08-25,"app"
"AL-NEORE/38718/448",2006-08-25,"APPROVED"
"AL-NEORE/38718/624",2006-08-25,"YES"
"AL-NEORE/38718/726",2006-08-25,"YES"
"AL-PEGAS/37622/928",2004-07-05,"YES"
"AL-PEGAS/37622/467",2004-07-05,"rejected"
"AL-PEGAS/37257/473",2004-07-05,"declined"
"AL-PEGAS/37622/794",2004-07-05,"NO"
"AL-PEGAS/37622/583",2004-07-05,"N"
"AL-PEGAS/37622/699",2004-07-05,"NO"
"AL-PEGAS/39349/409",2007-11-15,"yes"
"AL-PEGAS/39531/716",2008-06-24,"Y"
"AL-PEGAS/39592/432",2008-09-03,"app"
"AL-PEGAS/39448/757",2004-07-05,"Approved"
"AL-PEGAS/37622/667",2004-07-05,"rejected"
"AL-PEGAS/37622/943",2004-07-05,"APPROVED"
"AL-PEGAS/37622/265",2004-07-05,"rejected"
"AL-PEGAS/37622/664",2004-07-05,"rejected"
"AL-PEGAS/37622/659",2004-07-05,"Approved"
"AL-PEGAS/39349/831",2007-11-15,"app"
"AL-PEGAS/39531/284",2008-06-24,"N"
"AL-PEGAS/39592/555",2008-09-03,"Approved"
"AL-RIVOT/37257/274",2003-06-16,"declined"
"AL-RIVOT/37257/947",2003-06-16,"APPROVED"
"AL-RIVOT/37257/183",2003-06-16,"N"
"AL-RIVOT/37257/185",2003-06-16,"N"
"AL-RIVOT/37257/151",2003-06-16,"Approved"
"AL-ROACC/37622/252",2003-09-29,"Approved"
"AL-ROACC/37622/195",2003-09-29,"NO"
"AL-ROCAL/39290/648",2008-07-23,"APPROVED"
"AL-ROCAL/39290/426",2008-07-23,"YES"
"AL-ROCAL/39290/162",2008-07-23,"rejected"
"AL-ROCAL/39290/623",2008-07-23,"YES"
"AL-ROCAL/39290/562",2008-07-23,"rejected"
"AL-ROCAL/39290/945",2008-07-23,"APPROVED"
"AL-ROCAL/39290/767",2008-07-23,"rejected"
"AL-ROCAL/39290/161",2008-07-23,"rejected"
"AL-ROCAL/39290/900",2008-07-23,"yes"
"AL-ROCAL/39290/230",2008-07-23,"app"
"AL-ROCAL/39290/646",2008-07-23,"APPROVED"
"AL-ROCAL/39290/716",2008-07-23,"Y"
"AL-ROCAL/39290/651",2008-07-23,"Approved"
"AL-ROCAL/39290/467",2008-07-23,"rejected"
"AL-ROCEP/35065/773",1996-03-15,"declined"
"AL-ROCEP/35065/227",1996-03-15,"YES"
"AL-ROCEP/35065/739",1996-03-15,"app"
"AL-ROCEP/35065/241",1996-03-15,"APPROVED"
"AL-ROCEP/35065/212",1996-03-15,"Y"
"AL-ROCEP/35065/894",1996-03-15,"NO"
"AL-ROCEP/35065/466",1996-03-15,"rejected"
"AL-ROCEP/35065/911",1996-03-15,"Y"
"AL-ROCEP/35065/734",1996-03-15,"app"
"AL-ROCEP/35065/224",1996-03-15,"YES"
"AL-ROCEP/35065/568",1996-03-15,"rejected"
"AL-ROCEP/35065/306",1996-03-15,"yes"
"AL-ROCEP/35065/422",1996-03-15,"YES"
"AL-ROCEP/35065/995",1996-03-15,"NO"
"AL-ROCEP/35065/256",1996-03-15,"Approved"
"AL-ROCEP/35065/385",1996-03-15,"N"
"AL-ROCEP/35065/375",1996-03-15,"declined"
"AL-ROCEP/35065/593",1996-03-15,"NO"
"AL-ROFER/39931/720",2009-06-17,"YES"
"AL-ROFER/39931/407",2009-06-17,"yes"
"AL-ROFER/39931/136",2009-06-17,"app"
"AL-ROFER/39931/729",2009-06-17,"YES"
"AL-ROFER/39931/101",2009-06-17,"yes"
"AL-ROFER/39931/662",2009-06-17,"rejected"
"AL-ROFER/39931/863",2009-06-17,"rejected"
"AL-ROFER/38499/663",2005-12-15,"rejected"
"AL-ROFER/38499/861",2005-12-15,"rejected"
"AL-ROFER/38499/561",2005-12-15,"rejected"
"AL-ROFER/38499/938",2005-12-15,"app"
"AL-ROFER/38499/139",2005-12-15,"app"
"AL-ROFER/38499/662",2005-12-15,"rejected"
"AL-ROFER/38499/261",2005-12-15,"rejected"
"AL-ROFER/38499/711",2005-12-15,"Y"
"AL-ROFER/38499/617",2005-12-15,"Y"
"AL-ROFER/38499/804",2005-12-15,"yes"
"AL-ROFER/38499/979",2005-12-15,"declined"
"AL-ROFER/38499/306",2005-12-15,"yes"
"AL-TAMIF/39612/395",2009-11-05,"NO"
"AL-TAMIF/39612/712",2009-11-05,"Y"
"AL-TAMIF/39612/723",2008-06-17,"YES"
"AL-TAMIF/39612/696",2008-11-05,"NO"
"AL-TAMIF/38274/932",2005-10-31,"app"
"AL-TAMIF/38274/819",2005-10-31,"Y"
"AL-TARCE/38383/889",2005-07-28,"N"
"AL-TARCE/38663/299",2007-07-03,"NO"
"AL-TARCE/40871/657",2012-02-28,"Approved"
"AL-TARCE/38383/189",2005-07-28,"N"
"AL-TARCE/38663/196",2007-07-03,"NO"
"AL-TARCE/40871/396",2012-02-28,"NO"
"AL-TARCE/38383/134",2005-07-28,"app"
"AL-TARCE/38663/303",2007-07-03,"yes"
"AL-TARCE/40871/221",2011-02-28,"YES"
"AL-TIBER/39398/873",2007-12-28,"declined"
"AL-VALCY/39290/861",2008-10-24,"rejected"
"AL-VALCY/39290/283",2008-10-24,"N"
"AL-XELOD/37257/915",2003-03-20,"Y"
"AL-XELOD/37257/911",2003-03-20,"Y"
"AL-XELOD/39212/338",2003-03-20,"app"
"AL-XELOD/39643/662",2009-09-23,"rejected"
"AL-XELOD/40274/307",2010-07-12,"yes"
"AL-XELOD/37257/913",2003-03-20,"Y"
"AL-XELOD/37257/433",2003-03-20,"app"
"AL-XELOD/39212/586",2007-11-15,"N"
"AL-XELOD/39643/412",2009-09-23,"Y"
"AL-XELOD/40274/659",2010-07-12,"Approved"
"AL-XENIC/37257/423",2003-03-20,"YES"
"AL-ZELBO/41164/147",2013-11-20,"APPROVED"
"AL-ZENAP/38688/257",2005-12-15,"Approved"
"AL-ZENAP/38688/654",2005-12-15,"Approved"
"DZ-AVAST/39173/335",2000-04-20,"app"
"DZ-AVAST/39173/469",2009-04-20,"rejected"
"DZ-AVAST/39173/200",2009-04-20,"yes"
"DZ-AVAST/39173/226",2009-04-20,"YES"
"DZ-AVAST/39173/497",2009-04-20,"NO"
"DZ-AVAST/39173/212",2009-04-20,"Y"
"DZ-AVAST/39173/642",2009-04-20,"APPROVED"
"DZ-AVAST/39173/404",2009-04-20,"yes"
"DZ-AVAST/39173/304",2009-04-20,"yes"
"DZ-AVAST/39173/265",2009-04-20,"rejected"
"DZ-BACTR/36130/267",2000-12-11,"rejected"
"DZ-BACTR/36130/297",2000-12-11,"NO"
"DZ-BACTR/36130/449",2000-12-11,"APPROVED"
"DZ-CELLC/36861/750",2002-12-05,"Approved"
"DZ-COPEG/39114/603",2009-02-28,"yes"
"DZ-HERCE/38169/238",2006-07-23,"app"
"DZ-HERCE/38169/398",2006-07-23,"NO"
"DZ-HERCE/38169/143",2006-07-23,"APPROVED"
"DZ-HERCE/38169/975",2006-07-23,"declined"
"DZ-HERCE/38169/300",2006-07-23,"yes"
"DZ-MABTH/38169/319",2006-07-23,"Y"
"DZ-MABTH/38169/516",2006-07-23,"Y"
"DZ-MABTH/38169/666",2006-07-23,"rejected"
"DZ-MABTH/38169/798",2006-07-23,"NO"
"DZ-MABTH/38169/412",2006-07-23,"Y"
"DZ-MABTH/41617/824",2015-11-25,"YES"
"DZ-MABTH/38169/156",2006-07-23,"Approved"
"DZ-MABTH/38169/835",2006-07-23,"app"
"DZ-MABTH/38169/272",2006-07-23,"declined"
"DZ-MABTH/38169/784",2006-07-23,"N"
"DZ-MABTH/38169/140",2006-07-23,"APPROVED"
"DZ-MABTH/41617/329",2015-11-25,"YES"
"DZ-MADOP/35431/105",1999-01-01,"yes"
"DZ-MADOP/35431/347",1999-01-01,"APPROVED"
"DZ-NEORE/36678/247",2002-06-05,"APPROVED"
"DZ-NEORE/36678/558",2002-06-05,"Approved"
"DZ-NEORE/36678/895",2002-06-05,"NO"
"DZ-NEORE/36678/243",2002-06-05,"APPROVED"
"DZ-NEORE/36678/389",2002-06-05,"N"
"DZ-NEORE/36678/884",2002-06-05,"N"
"DZ-NEORE/36678/725",2002-06-05,"YES"
"DZ-NEORE/36678/425",2002-06-05,"YES"
"DZ-NEORE/36678/354",2002-06-05,"Approved"
"DZ-NEORE/36678/291",2002-06-05,"NO"
"DZ-NEORE/36678/623",2002-06-05,"YES"
"DZ-NEORE/36678/666",2002-06-05,"rejected"
"DZ-NEORE/36678/945",2002-06-05,"APPROVED"
"DZ-NEORE/36678/398",2002-06-05,"NO"
"DZ-NEORE/36678/293",2002-06-05,"NO"
"DZ-NEORE/36678/459",2002-06-05,"Approved"
"DZ-NEORE/36678/641",2002-06-05,"APPROVED"
"DZ-NEORE/36678/524",2002-06-05,"YES"
"DZ-NEORE/39173/730",2009-04-20,"app"
"DZ-NEORE/39173/824",2009-04-20,"YES"
"DZ-NEORE/39173/972",2009-04-20,"declined"
"DZ-NEORE/39173/219",2009-04-20,"Y"
"DZ-NEORE/39173/287",2009-04-20,"N"
"DZ-NEORE/39173/814",2009-04-20,"Y"
"DZ-NEORE/39173/374",2009-04-20,"declined"
"DZ-NEORE/39173/963",2009-04-20,"rejected"
"DZ-NEORE/39173/979",2009-04-20,"declined"
"DZ-NEORE/36678/500",2002-06-05,"yes"
"DZ-NEORE/36678/142",2002-06-05,"APPROVED"
"DZ-NEORE/36678/409",2002-06-05,"yes"
"DZ-NEORE/36678/417",2002-06-05,"Y"
"DZ-NEORE/36678/350",2002-06-05,"Approved"
"DZ-NEORE/36678/683",2002-06-05,"N"
"DZ-PEGAS/38169/735",2006-07-23,"app"
"DZ-XELOD/37926/657",2005-11-20,"Approved"
"DZ-XELOD/37926/626",2005-11-20,"YES"
"DZ-XELOD/37926/732",2005-11-20,"app"
"AR-ACTEM/41474/925",2015-08-05,"YES"
"AR-ACTEM/41474/364",2015-08-05,"rejected"
"AR-ACTEM/39930/292",2009-10-23,"NO"
"AR-ACTEM/40476/327",2011-02-08,"YES"
"AR-ACTEM/40795/318",2011-12-05,"Y"
"AR-ACTEM/41501/473",2014-09-11,"declined"
"AR-ACTEM/39930/738",2009-10-23,"app"
"AR-ACTEM/40476/642",2011-02-08,"APPROVED"
"AR-ACTEM/40795/660",2011-12-05,"rejected"
"AR-ACTEM/41501/436",2014-09-11,"app"
"AR-ACTEM/42054/983",2015-09-28,"N"
"AR-ACTEM/39930/306",2009-10-23,"yes"
"AR-ACTEM/40476/577",2011-02-08,"declined"
"AR-ACTEM/40795/524",2011-12-05,"YES"
"AR-ACTEM/41501/590",2014-09-11,"NO"
"AR-ANEXA/32470/513",1989-12-28,"Y"
"AR-ANEXA/32470/568",1989-12-28,"rejected"
"AR-AVAST/38457/167",2005-09-05,"rejected"
"AR-AVAST/39184/321",2007-06-01,"YES"
"AR-AVAST/39184/416",2007-06-01,"Y"
"AR-AVAST/39286/395",2007-09-21,"NO"
"AR-AVAST/39552/841",2008-09-03,"APPROVED"
"AR-AVAST/39552/639",2008-09-03,"app"
"AR-AVAST/40311/624",2010-08-04,"YES"
"AR-AVAST/40311/141",2010-08-04,"APPROVED"
"AR-AVAST/40696/387",2011-08-26,"N"
"AR-AVAST/40819/715",2011-12-16,"Y"
"AR-AVAST/40963/154",2012-03-30,"Approved"
"AR-AVAST/41296/975",2013-03-27,"declined"
"AR-AVAST/41928/875",2014-12-02,"declined"
"AR-AVAST/41928/434",2014-12-02,"app"
"AR-AVAST/38457/447",2005-09-05,"APPROVED"
"AR-AVAST/39184/626",2007-06-01,"YES"
"AR-AVAST/39184/232",2007-06-01,"app"
"AR-AVAST/39286/371",2007-09-21,"declined"
"AR-AVAST/39552/129",2008-09-03,"YES"
"AR-AVAST/39552/129",2008-09-03,"YES"
"AR-AVAST/40311/408",2010-08-04,"yes"
"AR-AVAST/40311/571",2010-08-04,"declined"
"AR-AVAST/40696/354",2011-08-26,"Approved"
"AR-AVAST/40819/888",2011-12-16,"N"
"AR-AVAST/40963/798",2012-03-30,"NO"
"AR-AVAST/41296/634",2013-03-27,"app"
"AR-AVAST/41928/218",2014-12-02,"Y"
"AR-AVAST/41928/762",2014-12-02,"rejected"
"AR-BACTR/26857/137",1974-08-07,"app"
"AR-BACTR/35614/931",2000-04-25,"app"
"AR-BACTR/35614/974",2000-04-25,"declined"
"AR-BACTR/41205/968",2013-02-13,"rejected"
"AR-BACTR/41205/642",2013-02-13,"APPROVED"
"AR-BACTR/41205/900",2013-02-13,"yes"
"AR-BACTR/41205/514",2013-02-13,"Y"
"AR-BACTR/29794/441",1982-07-06,"APPROVED"
"AR-BACTR/35614/220",2000-01-24,"YES"
"AR-BACTR/35614/262",2000-01-24,"rejected"
"AR-BACTR/35614/821",2000-01-24,"YES"
"AR-BACTR/35614/669",2000-01-24,"rejected"
"AR-BACTR/35614/533",2000-01-24,"app"
"AR-BACTR/35614/944",2000-01-24,"APPROVED"
"AR-BACTR/25401/335",1969-10-21,"app"
"AR-BACTR/35614/503",2000-01-24,"yes"
"AR-BACTR/35614/471",2000-01-24,"declined"
"AR-BACTR/35614/990",2000-01-24,"NO"
"AR-BACTR/35614/535",2000-01-24,"app"
"AR-BACTR/35614/329",2000-01-24,"YES"
"AR-BACTR/35614/132",2000-01-24,"app"
"AR-BACTR/34787/387",1995-06-14,"N"
"AR-BACTR/35614/262",2000-01-24,"rejected"
"AR-BACTR/35614/716",2000-01-24,"Y"
"AR-BACTR/35614/250",2000-01-24,"Approved"
"AR-BACTR/35614/475",2000-01-24,"declined"
"AR-BACTR/35614/754",2000-01-24,"Approved"
"AR-BACTR/35614/772",2000-01-24,"declined"
"AR-BACTR/25401/620",1969-10-21,"YES"
"AR-BACTR/35614/481",2000-01-24,"N"
"AR-BACTR/35614/888",2000-01-24,"N"
"AR-BACTR/35614/714",2000-01-24,"Y"
"AR-BACTR/35614/593",2000-01-24,"NO"
"AR-BACTR/35614/439",2000-01-24,"app"
"AR-BACTR/35614/642",2000-01-24,"APPROVED"
"AR-BACTR/26826/490",1976-07-29,"NO"
"AR-BACTR/37356/439",2005-08-19,"app"
"AR-BONVI/35569/170",1997-07-17,"declined"
"AR-BONVI/35569/941",1997-07-17,"APPROVED"
"AR-BONVI/36432/129",1999-11-05,"YES"
"AR-BONVI/40491/441",2011-01-21,"APPROVED"
"AR-BONVI/35569/126",1997-07-17,"YES"
"AR-BONVI/35569/281",1997-07-17,"N"
"AR-BONVI/36432/264",1999-11-05,"rejected"
"AR-BONVI/40491/411",2011-01-21,"Y"
"AR-BONVI/38638/267",2006-08-11,"rejected"
"AR-BONVI/38638/586",2006-08-11,"N"
"AR-BONVI/38638/111",2006-08-11,"Y"
"AR-BONVI/38638/266",2006-06-23,"rejected"
"AR-BONVI/38261/432",2005-04-15,"app"
"AR-BONVI/39035/569",2007-03-12,"rejected"
"AR-CELLC/35102/719",1996-05-03,"Y"
"AR-CELLC/35102/969",1996-05-03,"rejected"
"AR-CELLC/36493/382",2000-08-15,"N"
"AR-CELLC/37361/310",2002-12-02,"Y"
"AR-CELLC/40878/369",2012-01-18,"rejected"
"AR-CELLC/35370/397",1997-04-16,"NO"
"AR-CELLC/35370/866",1997-04-16,"rejected"
"AR-CELLC/36493/562",2000-08-15,"rejected"
"AR-CELLC/37361/998",2002-12-02,"NO"
"AR-CELLC/35956/523",1998-09-21,"YES"
"AR-COPEG/37820/312",2003-10-15,"Y"
"AR-COPEG/38195/190",2004-10-22,"NO"
"AR-COPEG/38775/915",2006-05-30,"Y"
"AR-COPEG/38775/959",2006-05-30,"Approved"
"AR-COPEG/39680/844",2008-10-31,"APPROVED"
"AR-COPEG/40331/393",2010-09-20,"NO"
"AR-COPEG/42187/855",2015-10-26,"Approved"
"AR-CYMEV/34996/835",1996-02-02,"app"
"AR-CYMEV/34996/504",1996-02-02,"yes"
"AR-CYMEV/34883/564",1995-12-20,"rejected"
"AR-DORMI/30413/170",1983-11-17,"declined"
"AR-DORMI/33617/595",1992-07-17,"NO"
"AR-DORMI/33617/127",1992-07-17,"YES"
"AR-DORMI/33617/546",1992-07-17,"APPROVED"
"AR-DORMI/35493/477",1998-05-15,"declined"
"AR-DORMI/35493/217",1998-05-15,"Y"
"AR-DORMI/35493/542",1998-05-15,"APPROVED"
"AR-DORMI/35493/778",1998-05-15,"declined"
"AR-DORMI/35493/676",1998-05-15,"declined"
"AR-DORMI/33617/200",1992-07-17,"yes"
"AR-DORMI/33617/330",1992-07-17,"app"
"AR-DORMI/33617/852",1992-07-17,"Approved"
"AR-DORMI/35493/191",1998-05-15,"NO"
"AR-DORMI/35493/261",1998-05-15,"rejected"
"AR-DORMI/35493/282",1998-05-15,"N"
"AR-DORMI/35493/945",1998-05-15,"APPROVED"
"AR-DORMI/35493/958",1998-05-15,"Approved"
"AR-DORMI/31544/378",1988-11-02,"declined"
"AR-DORMI/33149/308",1992-04-21,"yes"
"AR-DORMI/33617/664",1992-07-17,"rejected"
"AR-DORMI/33617/599",1992-07-17,"NO"
"AR-DORMI/33617/593",1992-07-17,"NO"
"AR-DORMI/35493/832",1998-05-15,"app"
"AR-DORMI/35493/662",1998-05-15,"rejected"
"AR-DORMI/35493/849",1998-05-15,"APPROVED"
"AR-DORMI/35493/969",1998-05-15,"rejected"
"AR-DORMI/35493/847",1998-05-15,"APPROVED"
"AR-DORMI/30636/768",1985-09-18,"rejected"
"AR-DORMI/30636/197",1985-09-18,"NO"
"AR-DORMI/34731/864",1995-07-25,"rejected"
"AR-DORMI/35493/176",1998-05-15,"declined"
"AR-DORMI/34731/467",1995-07-25,"rejected"
"AR-DORMI/35493/793",1998-05-15,"NO"
"AR-ERIVE/41789/469",2015-03-27,"rejected"
"AR-FUZEO/37879/711",2003-11-20,"Y"
"AR-GLUCO/34103/762",1993-12-30,"rejected"
"AR-GLUCO/34103/788",1993-12-30,"N"
"AR-GLUCO/40324/950",2010-11-01,"Approved"
"AR-GLUCO/40324/832",2010-11-01,"app"
"AR-HERCE/36906/359",2001-06-19,"Approved"
"AR-HERCE/36906/612",2001-06-19,"Y"
"AR-HERCE/38691/734",2006-05-11,"app"
"AR-HERCE/39234/628",2007-08-15,"YES"
"AR-HERCE/39234/183",2007-08-15,"N"
"AR-HERCE/39234/417",2007-08-15,"Y"
"AR-HERCE/39408/892",2008-02-29,"NO"
"AR-HERCE/40336/513",2010-09-08,"Y"
"AR-HERCE/40781/838",2011-11-10,"app"
"AR-HERCE/41060/675",2012-08-01,"declined"
"AR-HERCE/36258/847",1999-08-02,"APPROVED"
"AR-HERCE/36774/961",2000-11-29,"rejected"
"AR-HERCE/38691/123",2006-05-11,"YES"
"AR-HERCE/39234/326",2007-08-15,"YES"
"AR-HERCE/39234/572",2007-08-15,"declined"
"AR-HERCE/39234/291",2007-08-15,"NO"
"AR-HERCE/39408/364",2008-02-29,"rejected"
"AR-HERCE/40336/501",2010-09-08,"yes"
"AR-HERCE/40781/280",2011-11-10,"N"
"AR-HERCE/41060/580",2012-08-01,"N"
"AR-HERCE/41103/866",2015-06-15,"rejected"
"AR-HERCE/41103/644",2015-06-15,"APPROVED"
"AR-HERCE/41103/406",2015-06-15,"yes"
"AR-HERCE/41103/517",2015-06-15,"Y"
"AR-HERCE/41103/621",2015-06-15,"YES"
"AR-HERCE/41103/373",2015-06-15,"declined"
"AR-HERCE/41103/606",2015-06-15,"yes"
"AR-HERCE/41103/829",2015-06-15,"YES"
"AR-HERCE/41103/174",2015-06-15,"declined"
"AR-INVIR/35118/344",1996-05-20,"APPROVED"
"AR-INVIR/37314/537",2002-08-02,"app"
"AR-INVIR/40955/617",2012-07-02,"Y"
"AR-INVIR/38602/744",2006-05-04,"APPROVED"
"AR-INVIR/40134/795",2010-08-19,"NO"
"AR-INVIR/40955/853",2012-07-02,"Approved"
"AR-KADCY/41264/374",2013-11-29,"declined"
"AR-KADCY/41264/472",2013-11-29,"declined"
"AR-LARIA/34989/371",1996-01-09,"declined"
"AR-LARIA/34989/816",1996-01-09,"Y"
"AR-LARIA/36642/291",2000-05-31,"NO"
"AR-LEXOT/36517/890",2000-05-24,"NO"
"AR-LEXOT/36517/274",2000-05-24,"declined"
"AR-LEXOT/36517/987",2000-05-24,"N"
"AR-LEXOT/32647/626",1990-07-03,"YES"
"AR-LEXOT/35493/699",1998-05-15,"NO"
"AR-LEXOT/35493/645",1998-05-15,"APPROVED"
"AR-LEXOT/35493/140",1998-05-15,"APPROVED"
"AR-LEXOT/26826/990",1974-07-25,"NO"
"AR-LEXOT/35493/949",1998-05-15,"APPROVED"
"AR-LEXOT/35493/446",1998-05-15,"APPROVED"
"AR-LEXOT/35493/894",1998-05-15,"NO"
"AR-LEXOT/26826/314",1974-07-25,"Y"
"AR-LEXOT/35493/581",1998-05-15,"N"
"AR-LEXOT/35493/746",1998-05-15,"APPROVED"
"AR-LEXOT/35493/998",1998-05-15,"NO"
"AR-MABTH/35647/770",1998-02-13,"declined"
